timestamp_utc,date_utc,session_id,turn_index,state_before,pending_action,user_text,normalized_text,pred_main_intent,pred_sub_intent,pred_intent,slot_name,slot_value,slot_raw,start,end,slot_confidence,source,resolution_status,resolved_entity_type,resolved_entity_id,resolved_entity_name
2026-03-10T15:52:04.786941+00:00,2026-03-10,cli-bafa6d76-8ef6-4076-b654-2ec0bb13da79,1,idle,add_item,i want a chicken taco,i want a chicken taco,cart,add_item,add_item,ITEM,chicken taco,chicken taco,9,21,,unknown,predicted,,,
2026-03-10T15:52:07.530639+00:00,2026-03-10,cli-bafa6d76-8ef6-4076-b654-2ec0bb13da79,2,waiting_for_side,add_item,coke,coke,cart,add_item,add_item,ITEM,coke,coke,0,4,,unknown,predicted,,,
2026-03-10T15:52:24.068944+00:00,2026-03-10,cli-bafa6d76-8ef6-4076-b654-2ec0bb13da79,3,cancellation_confirmation,add_item,add coke,add coke,cart,add_item,add_item,ITEM,coke,coke,4,8,,unknown,predicted,,,
2026-03-10T16:13:04.153246+00:00,2026-03-10,cli-4b60d61d-19cb-4ba0-b6dd-5b9f54ee6b65,1,idle,add_item,i want a chiken taco,i want a chiken taco,cart,add_item,add_item,ITEM,chiken taco,chiken taco,9,20,,unknown,predicted,,,
2026-03-10T16:13:07.230734+00:00,2026-03-10,cli-4b60d61d-19cb-4ba0-b6dd-5b9f54ee6b65,2,waiting_for_side,add_item,coke,coke,cart,add_item,add_item,ITEM,coke,coke,0,4,,unknown,predicted,,,
2026-03-10T16:13:23.420535+00:00,2026-03-10,cli-4b60d61d-19cb-4ba0-b6dd-5b9f54ee6b65,5,idle,add_item,add one coke,add one coke,cart,add_item,add_item,ITEM,coke,coke,8,12,,unknown,predicted,,,
2026-03-10T16:13:25.813744+00:00,2026-03-10,cli-4b60d61d-19cb-4ba0-b6dd-5b9f54ee6b65,6,waiting_for_size,add_item,small,small,cart,modify_item,add_item,size,small,small,0,5,1.0,unknown,predicted,,,
2026-03-10T16:16:46.216022+00:00,2026-03-10,cli-58658c67-3e9c-412f-b8a5-bf54c18621c0,1,idle,add_item,i want a chicken taco,i want a chicken taco,cart,add_item,add_item,ITEM,chicken taco,chicken taco,9,21,,unknown,predicted,,,
2026-03-10T16:19:02.392185+00:00,2026-03-10,cli-58658c67-3e9c-412f-b8a5-bf54c18621c0,2,waiting_for_side,add_item,coke,coke,cart,add_item,add_item,ITEM,coke,coke,0,4,,unknown,predicted,,,
2026-03-10T17:56:21.537045+00:00,2026-03-10,ui-1773165370704,1,idle,add_item,i want a chicken taco,i want a chicken taco,cart,add_item,add_item,ITEM,chicken taco,chicken taco,9,21,,unknown,predicted,,,
2026-03-10T17:56:34.078636+00:00,2026-03-10,ui-1773165370704,2,waiting_for_side,add_item,i'll take coke,ill take coke,cart,add_item,unknown,ITEM,coke,coke,9,13,,unknown,predicted,,,
2026-03-10T17:56:44.880777+00:00,2026-03-10,ui-1773165370704,4,waiting_for_modifier,add_item,add cheese,add cheese,cart,add_item,unknown,MODIFIER,cheese,cheese,4,10,,unknown,predicted,,,
2026-03-10T17:56:54.260983+00:00,2026-03-10,ui-1773165370704,5,waiting_for_modifier,add_item,add cheese,add cheese,cart,add_item,unknown,MODIFIER,cheese,cheese,4,10,,unknown,predicted,,,
2026-03-10T17:56:58.395728+00:00,2026-03-10,ui-1773165370704,6,waiting_for_modifier,add_item,jelly,jelly,cart,add_item,unknown,ITEM,jelly,jelly,0,5,,unknown,predicted,,,
2026-03-10T18:40:42.118375+00:00,2026-03-10,ui-1773168032768,1,idle,add_item,i want a chicken burger,i want a chicken burger,cart,add_item,add_item,ITEM,chicken burger,chicken burger,9,23,,unknown,predicted,,,
2026-03-10T18:40:49.323016+00:00,2026-03-10,ui-1773168032768,2,error_recovery,add_item,i want a chicken burger,i want a chicken burger,cart,add_item,add_item,ITEM,chicken burger,chicken burger,9,23,,unknown,predicted,,,
2026-03-10T18:40:55.046384+00:00,2026-03-10,ui-1773168032768,3,error_recovery,add_item,i want a chicken taco,i want a chicken taco,cart,add_item,add_item,ITEM,chicken taco,chicken taco,9,21,,unknown,predicted,,,
2026-03-10T18:41:00.840152+00:00,2026-03-10,ui-1773168032768,4,error_recovery,add_item,i want a coke,i want a coke,cart,add_item,add_item,ITEM,coke,coke,9,13,,unknown,predicted,,,
2026-03-10T18:41:07.692751+00:00,2026-03-10,ui-1773168064169,1,idle,add_item,i want a coke,i want a coke,cart,add_item,add_item,ITEM,coke,coke,9,13,,unknown,predicted,,,
2026-03-11T11:45:14.961253+00:00,2026-03-11,ui-1773229504362,1,idle,add_item,i want a chicken taco,i want a chicken taco,cart,add_item,add_item,ITEM,chicken taco,chicken taco,9,21,,unknown,predicted,,,
2026-03-11T11:45:18.206750+00:00,2026-03-11,ui-1773229504362,2,waiting_for_side,add_item,coke,coke,cart,add_item,unknown,ITEM,coke,coke,0,4,,unknown,predicted,,,
2026-03-11T12:17:57.785438+00:00,2026-03-11,ui-1773231466982,1,idle,add_item,i want a coke,i want a coke,cart,add_item,add_item,ITEM,coke,coke,9,13,,unknown,predicted,,,
2026-03-11T12:18:04.574211+00:00,2026-03-11,ui-1773231466982,2,waiting_for_size,add_item,i'll take small,ill take small,cart,add_item,unknown,size,small,small,9,14,1.0,unknown,predicted,,,
2026-03-11T12:18:16.712499+00:00,2026-03-11,ui-1773231466982,3,idle,add_item,i want a chicken taco,i want a chicken taco,cart,add_item,add_item,ITEM,chicken taco,chicken taco,9,21,,unknown,predicted,,,
2026-03-11T12:18:18.592901+00:00,2026-03-11,ui-1773231466982,4,waiting_for_side,add_item,coke,coke,cart,add_item,unknown,ITEM,coke,coke,0,4,,unknown,predicted,,,
2026-03-11T12:18:23.766959+00:00,2026-03-11,ui-1773231466982,6,waiting_for_modifier,add_item,cheese,cheese,cart,add_item,unknown,ITEM,cheese,cheese,0,6,,unknown,predicted,,,
2026-03-11T12:42:21.074814+00:00,2026-03-11,ui-1773232929118,1,idle,add_item,i want a bacon shakon taco,i want a bacon shakon taco,cart,add_item,add_item,ITEM,bacon shakon taco,bacon shakon taco,9,26,,unknown,predicted,,,
2026-03-11T13:07:06.150092+00:00,2026-03-11,ui-1773234415541,1,idle,add_item,i want a bacon shakon taco,i want a bacon shakon taco,cart,add_item,add_item,ITEM,bacon shakon taco,bacon shakon taco,9,26,,unknown,predicted,,,
2026-03-11T13:07:10.663102+00:00,2026-03-11,ui-1773234415541,2,confirming_item,add_item,add chicken,add chicken,cart,add_item,add_item,ITEM,chicken,chicken,4,11,,unknown,predicted,,,
2026-03-11T13:07:23.262156+00:00,2026-03-11,ui-1773234415541,3,cancellation_confirmation,add_item,i said add a coke,i said add a coke,cart,add_item,add_item,ITEM,coke,coke,13,17,,unknown,predicted,,,
2026-03-11T13:07:31.882239+00:00,2026-03-11,ui-1773234415541,5,idle,add_item,add chicken taco,add chicken taco,cart,add_item,add_item,ITEM,chicken taco,chicken taco,4,16,,unknown,predicted,,,
